"arna0440-dos-code_text" "arna0440-source_text" "blac0350-code_text" "dove0550-code_text" "jame0551-code_text" "long0500-code_text" "muno0370-code_text" "olss0551-code_text" "oska0551-code_text" "supn0350-code_text" "vane0560-code_text" "wood0350-code_text" "wood043b-code_text"
"him" 0 0 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.0225513042170939 0.234793455132438 0.439775225995602
"hints" 0 0.0962232379119557 0 0 0 0 0 0 0 0 0.105239419679771 0.161420500403551 0.268751526997312
"dark" 0 0.180418571084917 0 0 0 0 0 0 0 0 0.112756521085469 0.117396727566219 0.195455655998045
"up" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.120273622491167 0.212781568713772 0.195455655998045
"liq" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.180410433736751 0.11005943209333 0
"out" 0 0.0240558094779889 0 0 0 0.255102040816327 0 0 0.418410041841004 0 0.120273622491167 0.146745909457774 0.293183483997068
"z" 0 0.0841953331729613 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0 0.322841000807102 0
"turns" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.112756521085469 0.11005943209333 0.195455655998045
"which" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.135307825302563 0.183432386822217 0.195455655998045
"all" 0 0.0120279047389945 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.127790723896865 0.146745909457774 0.268751526997312
"bug" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0526197098398857 0.190769682295106 0.146591741998534
"door" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.172893332331053 0.102722136620442 0.0488639139995114
"fixd" 0 0.252585999518884 0 0 0 0 0 0 0 0 0.0676539126512817 0.124734023039108 0.0977278279990227
"that" 0 0.0120279047389945 0 0 0 0.255102040816327 0 0 0.627615062761506 0 0.105239419679771 0.146745909457774 0.293183483997068
"attack" 0 0.0962232379119557 0 0 0 0 0 0 0 0 0.150342028113959 0.095384841147553 0.219887612997801
"cond" 0 0.228530190040895 0 0 0 0 0 0 0 0 0.0375855070284898 0.176095091349329 0.0488639139995114
"time" 0 0 0 0 0 1.53061224489796 0 0 1.25523012552301 0 0.0601368112455837 0.183432386822217 0.122159784998778
"tk" 0 0.2165022853019 0 0 0 0 0 0 0 0 0.0375855070284898 0.154083204930663 0.146591741998534
"d" 0 0 0 0 0 1.27551020408163 0 0 1.04602510460251 0 0 0.286154523442659 0
"see" 0 0.0240558094779889 0 0 0 0.76530612244898 0 0 0.627615062761506 0 0.112756521085469 0.132071318511996 0.195455655998045
"cage" 0 0.132306952128939 0 0 0 0 0 0 0 0 0.120273622491167 0.102722136620442 0.17102369899829
"eggs" 0 0.192446475823911 0 0 0 0 0 0 0 0 0.105239419679771 0.11005943209333 0.073295870999267
"objects" 0 0 0 0 0 0 0 0 0 0 0.112756521085469 0.183432386822217 0.195455655998045
"odloc" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.0977223182740735 0.0807102502017756 0.244319569997557
"set" 0 0.0240558094779889 0 0 0 0 0 0 0 0 0.127790723896865 0.183432386822217 0.0977278279990227
"oldlc" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0676539126512817 0.0880475456746643 0.34204739799658
"you" 0 0.156362761606928 0 0 0 0 0 0 0 0 0.127790723896865 0.117396727566219 0.0244319569997557
"by" 0 0 0 0 0 0 0 0 0 0 0.150342028113959 0.139408613984885 0.17102369899829
"closng" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.105239419679771 0.095384841147553 0.17102369899829
"each" 0 0 0 0 0 0 0 0 0 0 0.157859129519657 0.16875779587644 0.0488639139995114
"read" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.0676539126512817 0.154083204930663 0.0488639139995114
"y" 0 0.0841953331729613 0 0 0 0 0 0 0 0 0.0676539126512817 0.212781568713772 0.0244319569997557
"chloc" 0 0.156362761606928 0 0 0 0 0 0 0 0 0.0676539126512817 0.095384841147553 0.244319569997557
"setup" 0 0.132306952128939 0 0 0 1.02040816326531 0 0 0.836820083682008 0 0 0.161420500403551 0.0977278279990227
"where" 0 0.2165022853019 0 0 0 0 0 0 0 0 0.0526197098398857 0.139408613984885 0.0244319569997557
"wumpus" 0 0 0 0 0 0 0 0 0 0 0.33075246185071 0 0
"yes" 0 0.156362761606928 0 0 0 0 0 0 0 0 0.0601368112455837 0.139408613984885 0.0977278279990227
"batter" 0 0.132306952128939 0 0 0 0 0 0 0 0 0.105239419679771 0.0733729547288869 0.195455655998045
"data" 0 0.336781332691845 0 0 0 0 0 0 0 0 0.00751710140569796 0.102722136620442 0
"food" 0 0.2165022853019 0 0 0 0 0 0 0 0 0.0902052168683756 0.0880475456746643 0.0244319569997557
"mxscor" 0 0.228530190040895 0 0 0 0 0 0 0 0 0.0300684056227919 0.139408613984885 0.0244319569997557
"pct" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.120273622491167 0.0733729547288869 0.17102369899829
"pspeak" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.120273622491167 0.0880475456746643 0.073295870999267
"sword" 0 0 0 0 0 0 0 0 0 0 0.323235360445012 0 0
"abb" 0 0.10825114265095 0 0 0 0 0 0 0 0 0.112756521085469 0.095384841147553 0.122159784998778
"back" 0 0.0360837142169834 0 0 0 0 0 0 0 0 0.0676539126512817 0.132071318511996 0.293183483997068
"first" 0 0.0120279047389945 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.0601368112455837 0.198106977767995 0.0977278279990227
"forced" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.0601368112455837 0.102722136620442 0.244319569997557
"special" 0 0 0 0 0 0 0 0 0 0 0.0902052168683756 0.161420500403551 0.195455655998045
"words" 0 0.10825114265095 0 0 0 0 0 0 0 0 0.105239419679771 0.139408613984885 0
"hinted" 0 0.180418571084917 0 0 0 0 0 0 0 0 0.0601368112455837 0.102722136620442 0.0977278279990227
"only" 0 0 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0.0977223182740735 0.139408613984885 0.17102369899829
"dseen" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0751710140569796 0.0807102502017756 0.17102369899829
"else" 0 0 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.180410433736751 0.0807102502017756 0.0244319569997557
"into" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.135307825302563 0.095384841147553 0.195455655998045
"maxobj" 0 0 0 0 0 0 0 0 0 0 0.300684056227918 0 0
"numdie" 0 0.132306952128939 0 0 0 0 0 0 0 0 0.0751710140569796 0.0807102502017756 0.195455655998045
"oil" 0 0.10825114265095 0 0 0 0 0 0 0 0 0.105239419679771 0.095384841147553 0.0977278279990227
"clam" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.0977223182740735 0.11005943209333 0.0244319569997557
"must" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.120273622491167 0.117396727566219 0.146591741998534
"type" 0 0 0 0 0 0 0 0 0 0 0.00751710140569796 0.27881722796977 0
"adventurer" 0 0 0 0 0 0 0 0 0 0 0.270615650605127 0.0146745909457774 0
"athand" 0 0 0 0 0 0 0 0 0 0 0.285649853416523 0 0
"etc" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.135307825302563 0.0807102502017756 0.195455655998045
"key" 0 0.168390666345923 0 0 0 0 0 0 0 0 0.0601368112455837 0.0807102502017756 0.122159784998778
"pirate" 0 0 0 0 0 0 0 0 0 0 0.112756521085469 0.095384841147553 0.244319569997557
"whether" 0 0 0 0 0 0.76530612244898 0 0 0.627615062761506 0 0.0526197098398857 0.117396727566219 0.219887612997801
"an" 0 0 0 0 0 0 0 0 0 0 0.0977223182740735 0.154083204930663 0.073295870999267
"blklin" 0 0.132306952128939 0 0 0 0 0 0 0 0 0.0601368112455837 0.124734023039108 0.0244319569997557
"iopdev" 0 0.445032475342795 0 0 0 0 0 0 0 0 0 0 0
"mspeak" 0 0 0 0 0 1.27551020408163 0 0 1.04602510460251 0 0 0.198106977767995 0
"start" 0 0.0120279047389945 0 0 0 1.53061224489796 0 0 1.46443514644351 0 0.0300684056227919 0.117396727566219 0.073295870999267
"v" 0 0.156362761606928 0 0 0 0 0 0 0.836820083682008 0 0.0375855070284898 0 0.366479354996335
"keys" 0 0.0601395236949723 0 0 0 0 0 0 0 0 0.150342028113959 0.0513610683102209 0.0977278279990227
"messages" 0 0 0 0 0 0 0 0 0 0 0.0676539126512817 0.16875779587644 0.0977278279990227
"ran" 0 0.2165022853019 0 0 0 0 0 0 0 0 0 0.095384841147553 0.122159784998778
"but" 0 0.0120279047389945 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0902052168683756 0.102722136620442 0.0977278279990227
"don" 0 0.0240558094779889 0 0 0 0 0 0 0.209205020920502 0 0.0977223182740735 0.0733729547288869 0.219887612997801
"knfloc" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.0751710140569796 0.0660356592559982 0.146591741998534
"subroutine" 0 0.168390666345923 0 0 0 0 0 0 0 0 0 0.154083204930663 0
"used" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.0751710140569796 0.146745909457774 0.0977278279990227
"bonus" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0676539126512817 0.0880475456746643 0.0244319569997557
"dimension" 0 0.0240558094779889 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0 0.220118864186661 0
"foobar" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.0751710140569796 0.0660356592559982 0.122159784998778
"has" 0 0 0 0 0 0 0 0 0 0 0.0902052168683756 0.117396727566219 0.146591741998534
"hintlc" 0 0.0962232379119557 0 0 0 0 0 0 0 0 0.0526197098398857 0.0807102502017756 0.195455655998045
"stick" 0 0.0962232379119557 0 0 0 0 0 0 0 0 0.0902052168683756 0.0513610683102209 0.17102369899829
"also" 0 0 0 0 0 0 0 0 0 0 0.0375855070284898 0.154083204930663 0.17102369899829
"bit" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0676539126512817 0.0880475456746643 0
"implicit" 0 0 0 0 0 0.255102040816327 0 0 0.209205020920502 0 0 0.227456159659549 0
"ktab" 0 0.144334856867934 0 0 0 0 0 0 0 0 0.0150342028113959 0.132071318511996 0.0244319569997557
"treasure" 0 0 0 0 0 0 0 0 0 0 0.112756521085469 0.0733729547288869 0.195455655998045
"detail" 0 0.10825114265095 0 0 0 0 0 0 0 0 0.0751710140569796 0.0586983637831095 0.122159784998778
"linuse" 0 0.168390666345923 0 0 0 0 0 0 0 0 0 0.124734023039108 0.0244319569997557
"there" 0 0.0120279047389945 0 0 0 0 0 0 0 0 0.0902052168683756 0.0880475456746643 0.17102369899829
"zapp" 0 0 0 0 0 0 0 0 0 0 0.240547244982335 0 0
"lock" 0 0.0481116189559779 0 0 0 0 0 0 0 0 0.112756521085469 0.0733729547288869 0.0488639139995114
"look" 0 0.0601395236949723 0 0 0 0 0 0 0 0 0.0902052168683756 0.0733729547288869 0.0977278279990227
"motion" 0 0 0 0 0 0 0 0 0 0 0.0676539126512817 0.117396727566219 0.146591741998534
"one" 0 0 0 0 0 0 0 0 0 0 0.127790723896865 0.0880475456746643 0.0488639139995114
"saved" 0 0 0 0 0 1.02040816326531 0 0 0.836820083682008 0 0 0.146745909457774 0.073295870999267
"shift" 0 0 0 0 0 0 0 0 0 0 0 0.227456159659549 0
"since" 0 0 0 0 0 0 0 0 0 0 0.0526197098398857 0.132071318511996 0.146591741998534
"too" 0 0 0 0 0 1.02040816326531 0 0 0.836820083682008 0 0.0526197098398857 0.095384841147553 0.073295870999267
"wizard" 0 0 0 0 0 1.53061224489796 0 0 1.25523012552301 0 0.0150342028113959 0.124734023039108 0
"come" 0 0 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0300684056227919 0.0880475456746643 0.244319569997557
"dtotal" 0 0.0962232379119557 0 0 0 0 0 0 0 0 0.0676539126512817 0.0440237728373322 0.17102369899829
"iabs" 0 0.120279047389945 0 0 0 0 0 0 0 0 0.0150342028113959 0.0807102502017756 0.17102369899829
"logical" 0 0.0841953331729613 0 0 0 0.510204081632653 0 0 0.418410041841004 0 0.0150342028113959 0.117396727566219 0.0244319569997557
