"anon0501-data_text" "arna0440-dos-data_text" "arna0440-linux-data_text" "arna0440-source-data_text" "arna0660-data_text" "arna0770-data_text" "beck0500-data_text" "bhch0565-data_text" "cox_0350-data_text" "CROW0000-data_text" "daim0350-data_text" "ekma0350-data_text" "gill0350-data_text" "goet0350-data_text" "kenn0000-data_text" "kenw0550-data_text" "kine0350-data_text" "kint0350-data_text" "long0500-data_text" "lumm0350-data_text" "malm0350-data_text" "malm1000-data_text" "mcdo0551-data_text" "munk0430-data_text" "nels0350-data_text" "oska0551-data_text" "plat0550-data_text" "plot0350-data_text" "pohl0350-data_text" "russ0000-data_text" "ticm0350-data_text" "vane0560-data_text" "well0550-data_text" "whin0450-data_text" "wood0350-data_text" "wood0430-data_text" "wood043b-data_text"
"east" 0.496688741721854 0.0146498681511866 0.0146498681511866 0.0146498681511866 0.420560747663551 0.0595556234252119 0 0.698967434471803 0.416072277698526 0.668449197860963 0.416270218839201 0.367647058823529 0.367429180988503 0.380321432953012 0.411184210526316 0 0.368433563109104 0.445048831746817 0.496688741721854 0.415676959619952 1.00334448160535 0.790738686463578 0 0.30887308124298 0.299769819602805 0.998694887363105 0.416666666666667 0 0.411184210526316 0.668449197860963 0.445048831746817 0 0.594916170903191 0.385080866982066 0.368608799048751 0.30887308124298 0.30887308124298
"little" 0.301023479831427 0 0 0 0.280373831775701 0.0946781705734138 0 0.476568705321684 0.891583452211127 0.802139037433155 0.892007611798287 0.58111954459203 0.580775157046344 0.60115323273218 0.881109022556391 0 0.582362728785358 0.605760909877612 0.301023479831427 0.890736342042755 0.5388331475288 0.608698125551099 0 0.477349307375515 0.326534982067341 0.317766555070079 0.25887573964497 0 0.881109022556391 0.802139037433155 0.605760909877612 0 0.229853975121687 0.825173286390142 0.582639714625446 0.477349307375515 0.477349307375515
"from" 0.474111980734497 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.410176531671859 0.441322440253493 0 0.714853057982526 0.463623395149786 0.367647058823529 0.463843958135109 0.47438330170778 0.474102169017423 0.490737332842596 0.458176691729323 0 0.475398145947231 0.469773766843862 0.474111980734497 0.463182897862233 0.306577480490524 0.31572659783258 0.450958286358512 0.449269936353426 0.326534982067341 0.402882596606707 0.340236686390533 0 0.458176691729323 0.367647058823529 0.469773766843862 0 0.662520281233099 0.440092419408076 0.475624256837099 0.449269936353426 0.449269936353426
"out" 0.406381697772426 0.0439496044535599 0.0439496044535599 0.0439496044535599 0.467289719626168 0.422997633045736 0 0.476568705321684 0.463623395149786 0.267379679144385 0.463843958135109 0.450664136622391 0.450397060566552 0.466200466200466 0.458176691729323 0 0.451628238649869 0.457411299295339 0.406381697772426 0.463182897862233 0.278706800445931 0.221861933612083 0.450958286358512 0.430550355672033 0.369359242010599 0.39153379106849 0.453648915187377 0 0.458176691729323 0.267379679144385 0.457411299295339 0 0.446187128177393 0.451094729893278 0.451843043995244 0.430550355672033 0.430550355672033
"that" 0.263395544852498 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.529595015576324 0.923875696724441 0 0.222398729150119 0.320970042796006 0.434491978609626 0.321122740247383 0.367647058823529 0.367429180988503 0.343516132989817 0.305451127819549 0 0.368433563109104 0.333786623810112 0.263395544852498 0.320665083135392 0.157933853586027 0.156441107034161 1.46561443066516 0.355672032946462 0.219474332209197 0.283720138455428 0.29585798816568 0 0.305451127819549 0.434491978609626 0.333786623810112 0 0.189291508923743 0.286060072615249 0.368608799048751 0.355672032946462 0.355672032946462
"north" 0.308549066827213 0.02197480222678 0.02197480222678 0.02197480222678 0.441329179646937 0.0656638924944644 0 0.730738681493249 0.439847836424156 0.434491978609626 0.440057088487155 0.34392789373814 0.343724072537632 0.355784566310882 0.422932330827068 0 0.344663655811742 0.407961429101249 0.308549066827213 0.439429928741093 1.00334448160535 0.975623631140313 0 0.299513290902284 0.144531877308495 0.261022527378993 0.505424063116371 0 0.422932330827068 0.434491978609626 0.407961429101249 0 0.662520281233099 0.396083177467268 0.344827586206897 0.299513290902284 0.299513290902284
"can" 0.45153521974714 0.0952241429827132 0.0952241429827132 0.0952241429827132 0.399792315680166 0.447430709322746 0 0.238284352660842 0.463623395149786 0.568181818181818 0.463843958135109 0.462523719165085 0.462249614791988 0.466200466200466 0.458176691729323 0 0.46351319229855 0.469773766843862 0.45153521974714 0.463182897862233 0.213675213675214 0.170663025855448 0.56369785794814 0.477349307375515 0.198062202237568 0.419905804914033 0.268737672583826 0 0.458176691729323 0.568181818181818 0.469773766843862 0 0.216333153055706 0.440092419408076 0.463733650416171 0.477349307375515 0.477349307375515
"south" 0.293497892835641 0.02197480222678 0.02197480222678 0.02197480222678 0.454309449636552 0.0656638924944644 0 0.746624305003971 0.309082263433191 0.367647058823529 0.309229305423406 0.272770398481973 0.272608747185018 0.282173966384493 0.305451127819549 0 0.273353933919658 0.346149091358635 0.293497892835641 0.308788598574822 1.00334448160535 0.907358420798134 0 0.262074129539498 0.139178844815588 0.232650513533451 0.493096646942801 0 0.305451127819549 0.367647058823529 0.346149091358635 0 0.703082747431044 0.286060072615249 0.273483947681332 0.262074129539498 0.262074129539498
"for" 0.338651414810355 0.0585994726047466 0.0585994726047466 0.0585994726047466 0.404984423676012 0.590975032450179 0 0.142970611596505 0.332857822158821 0.300802139037433 0.321122740247383 0.367647058823529 0.355576626763067 0.343516132989817 0.328947368421053 0 0.356548609460423 0.346149091358635 0.338651414810355 0.320665083135392 0.185804533630621 0.0881758966919817 1.12739571589628 0.41183077499064 0.283710722124083 0.323440957839187 0.224358974358974 0 0.328947368421053 0.300802139037433 0.346149091358635 0 0.175770686857761 0.374078556496864 0.356718192627824 0.41183077499064 0.41183077499064
"maze" 0.240818783865141 0 0 0 0.181723779854621 0.0198518744750706 0 0.413026211278793 0.689491203043271 0.367647058823529 0.689819219790676 0.391366223908918 0.391134289439374 0.404858299595142 0.681390977443609 0 0.392203470406465 0.407961429101249 0.240818783865141 0.688836104513064 0.408769973987365 0.605853741786842 0 0.30887308124298 1.20978534339703 0.192929694149691 0.150394477317554 0 0.681390977443609 0.367647058823529 0.407961429101249 0 0.175770686857761 0.63813400814171 0.392390011890606 0.30887308124298 0.30887308124298
"into" 0.361228175797712 0 0 0 0.48546209761163 0.456593112926624 0 0.365369340746624 0.320970042796006 0.233957219251337 0.321122740247383 0.320208728652751 0.320018964086761 0.331247699668752 0.317199248120301 0 0.320893748514381 0.32142415626159 0.361228175797712 0.320665083135392 0.204384986993683 0.193418095969508 0 0.280793710220891 0.176650072265939 0.334789763377405 0.337771203155819 0 0.317199248120301 0.233957219251337 0.32142415626159 0 0.378583017847485 0.308064693585653 0.321046373365042 0.280793710220891 0.280793710220891
"descr" 0 0 0 0 0 0 0 0 0 0 0 0.0118595825426945 0.0118525542254356 0.0122684333210649 0 0 0.0118849536486808 0 0 0 3.6231884057971 2.86429445060728 0 0.00935979034069637 0 0 0 0 0 0 0 0 0 0 0.0118906064209275 0.00935979034069637 0.00935979034069637
"as" 0.255869957856713 0.314972165250513 0.314972165250513 0.314972165250513 0.392004153686397 0.589447965182866 0 0.0953137410643368 0.237755587256301 0.233957219251337 0.237868696479543 0.260910815939279 0.260756192959583 0.282173966384493 0.234962406015038 0 0.261468980270977 0.259611818518976 0.255869957856713 0.237529691211401 0.120772946859903 0.0967090479847541 1.01465614430665 0.365031823287158 0.165944007280124 0.232650513533451 0.179980276134122 0 0.234962406015038 0.233957219251337 0.259611818518976 0 0.121687398593835 0.23104852018924 0.261593341260404 0.365031823287158 0.365031823287158
"but" 0.255869957856713 0.0366246703779666 0.0366246703779666 0.0366246703779666 0.368639667705088 0.652057723142704 0 0.28594122319301 0.285306704707561 0.467914438502674 0.285442435775452 0.308349146110057 0.308166409861325 0.294442399705558 0.293703007518797 0 0.3090087948657 0.296699221164544 0.255869957856713 0.285035629453682 0.0929022668153103 0.119464118098814 0.789177001127396 0.346312242605766 0.208768267223382 0.243999319071668 0.16025641025641 0 0.293703007518797 0.467914438502674 0.296699221164544 0 0.229853975121687 0.275057762130047 0.309155766944114 0.346312242605766 0.346312242605766
"passages" 0.285972305839856 0 0 0 0.223260643821391 0.0167977399404444 0 0.619539316918189 0.725154541131717 0.53475935828877 0.725499524262607 0.426944971537002 0.426691952115681 0.441663599558336 0.716635338345865 0 0.427858331352508 0.445048831746817 0.285972305839856 0.724465558194774 0.380899293942772 0.489234007452285 0 0.346312242605766 0.123119747336866 0.221301707995233 0.162721893491124 0 0.716635338345865 0.53475935828877 0.445048831746817 0 0.33802055164954 0.671140939597315 0.428061831153389 0.346312242605766 0.346312242605766
"pit" 0.248344370860927 0.124523879285086 0.124523879285086 0.124523879285086 0.142782969885774 0.0565014888905856 0 0.333598093725179 0.487398953875416 0.501336898395722 0.487630827783064 0.438804554079696 0.438544506341117 0.453932032879401 0.481672932330827 0 0.439743285001188 0.457411299295339 0.248344370860927 0.486935866983373 0.334448160535117 0.284438376425747 0 0.374391613627855 0.529950216797816 0.306417749531862 0.303254437869822 0 0.481672932330827 0.501336898395722 0.457411299295339 0 0.50027041644132 0.451094729893278 0.439952437574316 0.374391613627855 0.374391613627855
"have" 0.308549066827213 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.376427829698858 0.448957776590059 0 0.0635424940428912 0.344745601521636 0.334224598930481 0.344909609895338 0.367647058823529 0.367429180988503 0.343516132989817 0.340695488721804 0 0.368433563109104 0.32142415626159 0.308549066827213 0.344418052256532 0.130063173541434 0.0824871291634667 0.676437429537768 0.346312242605766 0.262298592152454 0.306417749531862 0.253944773175542 0 0.340695488721804 0.334224598930481 0.32142415626159 0 0.0270416441319632 0.341071625041259 0.368608799048751 0.346312242605766 0.346312242605766
"large" 0.383804936785069 0 0 0 0.257009345794392 0.166450332137131 0 0.651310563939635 0.404184498335711 0.434491978609626 0.404376784015224 0.391366223908918 0.391134289439374 0.404858299595142 0.399436090225564 0 0.392203470406465 0.395598961552726 0.383804936785069 0.403800475059382 0.334448160535117 0.318570981596837 0.112739571589628 0.318232871583677 0.353300144531877 0.334789763377405 0.170118343195266 0 0.399436090225564 0.434491978609626 0.395598961552726 0 0.554353704705246 0.374078556496864 0.392390011890606 0.318232871583677 0.318232871583677
"down" 0.255869957856713 0.00732493407559332 0.00732493407559332 0.00732493407559332 0.29595015576324 0.255020233641292 0 0.381254964257347 0.249643366619116 0.467914438502674 0.24976213130352 0.23719165085389 0.237051084508712 0.257637099742363 0.246710526315789 0 0.237699072973615 0.247249350970454 0.255869957856713 0.249406175771971 0.678186547751765 0.466478937338226 0 0.196555597154624 0.165944007280124 0.635533110140158 0.384615384615385 0 0.246710526315789 0.467914438502674 0.247249350970454 0 0.310978907517577 0.23104852018924 0.237812128418549 0.196555597154624 0.196555597154624
